drug_a,drug_b,support,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower,naive_log2_oe,eras_with_signal,om025_2004-2012,om025_2013-2018,om025_2019-2026
ADALIMUMAB,ROSUVASTATIN,plausible,242,1,14.354665018977846,-3.307881666124557,-7.105108934485904,2.4285577982688435,-0.9652278671607895,-4.762455135522137,-1.7795151538733347,0,-3.261059741763052,-12.911369766387391,-14.885840332577347
ALLOPURINOL,SULFAMETHOXAZOLE,unsupported,1000,1,14.765942352322135,-3.3472822426732236,-7.14450951103457,22.770779757584382,-3.9554851475632025,-7.75271241592455,1.3340144271714522,0,-5.374910789230015,-13.226068622505522,-13.495799496441776
ACETAMINOPHEN,FUSIDIC ACID,unsupported,49,1,14.839466938160632,-3.3542139427805506,-7.151441211141897,18.49587763348521,-3.662651962037915,-7.459879230399261,1.4774943855052545,0,-13.222938166090032,-12.961171110915048,-5.317219032858882
ALLOPURINOL,TRIMETHOPRIM,unsupported,1009,1,14.93233993685935,-3.3629224220735665,-7.160149690434913,23.23222423264974,-3.98381291336798,-7.781040181729327,1.3200909204826878,0,-5.453817826859004,-13.197900900472172,-13.492533729264274
ERYTHROMYCIN,FUSIDIC ACID,plausible,48,1,15.044353534949737,-3.3733562126904317,-7.170583481051779,31.938281577568038,-4.434662988777295,-8.231890257138643,1.5821498785247434,0,,-11.713297786235096,-13.609601964716186
FENTANYL,SIMVASTATIN,plausible,149,1,15.16275193574967,-3.384303309685152,-7.181530578046499,25.41526685447401,-4.110767843672887,-7.907995112034234,0.19304719015886698,0,-13.447434804187544,-5.648568382441137,-13.180163348796961
EZETIMIBE,LANSOPRAZOLE,plausible,282,1,15.290868362917868,-3.3960561034535575,-7.193283371814904,21.43076478849098,-3.869921717957213,-7.667148986318559,1.1531614880092251,0,-13.709371818717297,-12.57311165251645,-5.932042647730007
CLARITHROMYCIN,TRIMETHOPRIM,plausible,666,1,15.383296613303648,-3.404475972268664,-7.20170324063001,25.48586988024296,-4.114692948377228,-7.911920216738574,1.2824135859422643,0,-13.499323035388759,-13.272400075538428,-5.699213175066742
AMLODIPINE,PREDNISONE,plausible,1923,1,15.469412980486718,-3.4122768758755306,-7.2095041442368775,10.527583189630512,-2.878082238007327,-6.6753095063686745,-0.5675096909347274,0,-11.28351224668998,-12.25362413941101,-6.951778071352158
AMOXICILLIN,AZITHROMYCIN,plausible,1701,1,15.80071635508324,-3.441900961028507,-7.239128229389854,21.956458881215532,-3.904096043842229,-7.701323312203575,0.9819753961262642,0,-12.533149987628391,-12.768926930765952,-6.380532899222076
